epoch,negative_sampling_loss,dirichlet_prior_loss
1,22.972,-28702.469
2,21.126,-28703.477
3,19.345,-28704.512
4,16.710,-28705.639
5,13.693,-28706.879
6,11.085,-28708.213
7,9.298,-28709.613
8,8.270,-28711.098
9,7.721,-28712.660
10,7.426,-28714.309
11,7.255,-28716.023
12,7.145,-28717.842
13,7.065,-28719.736
14,6.997,-28721.711
15,6.945,-28723.773
16,6.896,-28725.910
17,6.854,-28728.131
18,6.813,-28730.443
19,6.781,-28732.838
20,6.752,-28735.314
21,6.722,-28737.863
22,6.696,-28740.494
23,6.669,-28743.223
24,6.651,-28746.049
25,6.627,-28748.969
26,6.609,-28751.973
27,6.586,-28755.082
28,6.573,-28758.285
29,6.558,-28761.607
30,6.542,-28765.021
31,6.527,-28768.535
32,6.518,-28772.170
33,6.507,-28775.906
34,6.493,-28779.770
35,6.487,-28783.752
36,6.477,-28787.857
37,6.465,-28792.092
38,6.460,-28796.439
39,6.451,-28800.924
40,6.443,-28805.551
41,6.438,-28810.320
42,6.435,-28815.244
43,6.421,-28820.314
44,6.419,-28825.541
45,6.413,-28830.916
46,6.406,-28836.457
47,6.404,-28842.164
48,6.399,-28848.035
49,6.390,-28854.096
50,6.391,-28860.336
51,6.384,-28866.764
52,6.384,-28873.381
53,6.379,-28880.188
54,6.372,-28887.213
55,6.372,-28894.459
56,6.367,-28901.938
57,6.367,-28909.604
58,6.361,-28917.504
59,6.356,-28925.637
60,6.355,-28934.012
